r_m,z_m,phi_V,ne_m3,ni_m3
0.06771,0.01875,8.4119e-1,0.0000e+0,0.0000e+0
0.06979,0.01875,7.8875e-1,2.8737e+10,0.0000e+0
0.07187,0.01875,7.3480e-1,1.8419e+11,0.0000e+0
0.07396,0.01875,6.8965e-1,0.0000e+0,0.0000e+0
0.07604,0.01875,6.4066e-1,0.0000e+0,0.0000e+0
0.07813,0.01875,5.8899e-1,0.0000e+0,0.0000e+0
0.08021,0.01875,5.3534e-1,0.0000e+0,0.0000e+0
0.08229,0.01875,4.8018e-1,0.0000e+0,0.0000e+0
0.08438,0.01875,4.2398e-1,0.0000e+0,0.0000e+0
0.08646,0.01875,3.6716e-1,0.0000e+0,0.0000e+0
0.08854,0.01875,3.1010e-1,0.0000e+0,0.0000e+0
0.09062,0.01875,2.5295e-1,0.0000e+0,0.0000e+0
0.09271,0.01875,1.9588e-1,0.0000e+0,0.0000e+0
0.09479,0.01875,1.3908e-1,0.0000e+0,0.0000e+0
0.09688,0.01875,8.2797e-2,0.0000e+0,0.0000e+0
0.09896,0.01875,2.7265e-2,0.0000e+0,0.0000e+0
0.00104,0.02292,1.9559e+0,0.0000e+0,0.0000e+0
0.00313,0.02292,1.9535e+0,0.0000e+0,0.0000e+0
0.00521,0.02292,1.9489e+0,0.0000e+0,0.0000e+0
0.00729,0.02292,1.9420e+0,0.0000e+0,0.0000e+0
0.00937,0.02292,1.9324e+0,0.0000e+0,0.0000e+0
0.01146,0.02292,1.9202e+0,0.0000e+0,0.0000e+0
0.01354,0.02292,1.9051e+0,0.0000e+0,0.0000e+0
0.01563,0.02292,1.8867e+0,0.0000e+0,0.0000e+0
0.01771,0.02292,1.8643e+0,0.0000e+0,0.0000e+0
0.01979,0.02292,1.8367e+0,9.1097e+10,0.0000e+0
0.02187,0.02292,1.8139e+0,4.5850e+11,0.0000e+0
0.02396,0.02292,1.8114e+0,0.0000e+0,0.0000e+0
0.02604,0.02292,1.8011e+0,0.0000e+0,0.0000e+0
0.02813,0.02292,1.7855e+0,0.0000e+0,0.0000e+0
0.03021,0.02292,1.7660e+0,0.0000e+0,0.0000e+0
0.03229,0.02292,1.7436e+0,0.0000e+0,0.0000e+0
0.03438,0.02292,1.7188e+0,0.0000e+0,0.0000e+0
0.03646,0.02292,1.6922e+0,0.0000e+0,0.0000e+0
0.03854,0.02292,1.6646e+0,0.0000e+0,0.0000e+0
0.04063,0.02292,1.6367e+0,0.0000e+0,0.0000e+0
0.04271,0.02292,1.6069e+0,0.0000e+0,0.0000e+0
0.04479,0.02292,1.5747e+0,0.0000e+0,0.0000e+0
0.04688,0.02292,1.5399e+0,0.0000e+0,0.0000e+0
0.04896,0.02292,1.5026e+0,0.0000e+0,0.0000e+0
0.05104,0.02292,1.4629e+0,0.0000e+0,0.0000e+0
0.05312,0.02292,1.4206e+0,0.0000e+0,0.0000e+0
0.05521,0.02292,1.3760e+0,0.0000e+0,0.0000e+0
0.05729,0.02292,1.3290e+0,0.0000e+0,0.0000e+0
0.05937,0.02292,1.2798e+0,0.0000e+0,0.0000e+0
0.06146,0.02292,1.2282e+0,0.0000e+0,0.0000e+0
0.06354,0.02292,1.1742e+0,0.0000e+0,0.0000e+0
0.06563,0.02292,1.1178e+0,0.0000e+0,0.0000e+0
0.06771,0.02292,1.0587e+0,0.0000e+0,0.0000e+0
0.06979,0.02292,9.9686e-1,1.3479e+10,0.0000e+0
0.07187,0.02292,9.3331e-1,8.6395e+10,0.0000e+0
0.07396,0.02292,8.7298e-1,0.0000e+0,0.0000e+0
0.07604,0.02292,8.0977e-1,0.0000e+0,0.0000e+0
0.07813,0.02292,7.4394e-1,0.0000e+0,0.0000e+0
0.08021,0.02292,6.7577e-1,0.0000e+0,0.0000e+0
0.08229,0.02292,6.0566e-1,0.0000e+0,0.0000e+0
0.08438,0.02292,5.3411e-1,0.0000e+0,0.0000e+0
0.08646,0.02292,4.6203e-1,0.0000e+0,0.0000e+0
0.08854,0.02292,3.9053e-1,0.0000e+0,0.0000e+0
0.09062,0.02292,3.1892e-1,0.0000e+0,0.0000e+0
0.09271,0.02292,2.4720e-1,0.0000e+0,0.0000e+0
0.09479,0.02292,1.7565e-1,0.0000e+0,0.0000e+0
0.09688,0.02292,1.0461e-1,0.0000e+0,0.0000e+0
0.09896,0.02292,3.4447e-2,0.0000e+0,0.0000e+0
0.00104,0.02708,2.3562e+0,0.0000e+0,0.0000e+0
0.00313,0.02708,2.3539e+0,0.0000e+0,0.0000e+0
0.00521,0.02708,2.3489e+0,0.0000e+0,0.0000e+0
0.00729,0.02708,2.3411e+0,0.0000e+0,0.0000e+0
0.00937,0.02708,2.3305e+0,0.0000e+0,0.0000e+0
0.01146,0.02708,2.3171e+0,0.0000e+0,0.0000e+0
0.01354,0.02708,2.3004e+0,0.0000e+0,0.0000e+0
0.01563,0.02708,2.2799e+0,0.0000e+0,0.0000e+0
0.01771,0.02708,2.2553e+0,0.0000e+0,0.0000e+0
0.01979,0.02708,2.2254e+0,8.1315e+10,0.0000e+0
0.02187,0.02708,2.1996e+0,4.0927e+11,0.0000e+0
0.02396,0.02708,2.1916e+0,0.0000e+0,0.0000e+0
0.02604,0.02708,2.1763e+0,0.0000e+0,0.0000e+0
0.02813,0.02708,2.1558e+0,0.0000e+0,0.0000e+0
0.03021,0.02708,2.1316e+0,0.0000e+0,0.0000e+0
0.03229,0.02708,2.1048e+0,0.0000e+0,0.0000e+0
0.03438,0.02708,2.0772e+0,0.0000e+0,0.0000e+0
0.03646,0.02708,2.0478e+0,0.0000e+0,0.0000e+0
0.03854,0.02708,2.0160e+0,0.0000e+0,0.0000e+0
0.04063,0.02708,1.9816e+0,0.0000e+0,0.0000e+0
0.04271,0.02708,1.9445e+0,0.0000e+0,0.0000e+0
0.04479,0.02708,1.9047e+0,0.0000e+0,0.0000e+0
0.04688,0.02708,1.8622e+0,0.0000e+0,0.0000e+0
0.04896,0.02708,1.8171e+0,0.0000e+0,0.0000e+0
0.05104,0.02708,1.7693e+0,0.0000e+0,0.0000e+0
0.05312,0.02708,1.7188e+0,0.0000e+0,0.0000e+0
0.05521,0.02708,1.6656e+0,0.0000e+0,0.0000e+0
0.05729,0.02708,1.6099e+0,0.0000e+0,0.0000e+0
0.05937,0.02708,1.5517e+0,0.0000e+0,0.0000e+0
0.06146,0.02708,1.4913e+0,0.0000e+0,0.0000e+0
0.06354,0.02708,1.4284e+0,0.0000e+0,0.0000e+0
0.06563,0.02708,1.3630e+0,0.0000e+0,0.0000e+0
0.06771,0.02708,1.2948e+0,0.0000e+0,0.0000e+0
0.06979,0.02708,1.2238e+0,0.0000e+0,0.0000e+0
0.07187,0.02708,1.1503e+0,0.0000e+0,0.0000e+0
0.07396,0.02708,1.0747e+0,0.0000e+0,0.0000e+0
0.07604,0.02708,9.9648e-1,0.0000e+0,0.0000e+0
0.07813,0.02708,9.1534e-1,0.0000e+0,0.0000e+0
0.08021,0.02708,8.3122e-1,0.0000e+0,0.0000e+0
0.08229,0.02708,7.4404e-1,0.0000e+0,0.0000e+0
0.08438,0.02708,6.5355e-1,3.8500e+10,0.0000e+0
0.08646,0.02708,5.6146e-1,1.7554e+11,0.0000e+0
0.08854,0.02708,4.7811e-1,0.0000e+0,0.0000e+0
0.09062,0.02708,3.9188e-1,0.0000e+0,0.0000e+0
0.09271,0.02708,3.0433e-1,0.0000e+0,0.0000e+0
0.09479,0.02708,2.1644e-1,0.0000e+0,0.0000e+0
0.09688,0.02708,1.2895e-1,0.0000e+0,0.0000e+0
0.09896,0.02708,4.2478e-2,0.0000e+0,0.0000e+0
0.00104,0.03125,2.7769e+0,0.0000e+0,0.0000e+0
0.00313,0.03125,2.7743e+0,0.0000e+0,0.0000e+0
0.00521,0.03125,2.7693e+0,0.0000e+0,0.0000e+0
0.00729,0.03125,2.7618e+0,0.0000e+0,0.0000e+0
0.00937,0.03125,2.7514e+0,0.0000e+0,0.0000e+0
0.01146,0.03125,2.7381e+0,0.0000e+0,0.0000e+0
0.01354,0.03125,2.7217e+0,0.0000e+0,0.0000e+0
0.01563,0.03125,2.7021e+0,0.0000e+0,0.0000e+0
0.01771,0.03125,2.6796e+0,0.0000e+0,0.0000e+0
0.01979,0.03125,2.6549e+0,0.0000e+0,0.0000e+0
0.02187,0.03125,2.6297e+0,0.0000e+0,0.0000e+0
0.02396,0.03125,2.6049e+0,0.0000e+0,0.0000e+0
0.02604,0.03125,2.5781e+0,0.0000e+0,0.0000e+0
0.02813,0.03125,2.5482e+0,0.0000e+0,0.0000e+0
0.03021,0.03125,2.5145e+0,0.0000e+0,0.0000e+0
0.03229,0.03125,2.4764e+0,2.1604e+11,0.0000e+0
0.03438,0.03125,2.4497e+0,2.0173e+10,0.0000e+0
0.03646,0.03125,2.4199e+0,0.0000e+0,0.0000e+0
0.03854,0.03125,2.3846e+0,0.0000e+0,0.0000e+0
0.04063,0.03125,2.3445e+0,0.0000e+0,0.0000e+0
0.04271,0.03125,2.3005e+0,0.0000e+0,0.0000e+0
0.04479,0.03125,2.2532e+0,0.0000e+0,0.0000e+0
0.04688,0.03125,2.2030e+0,0.0000e+0,0.0000e+0
